continente,sett 2020-01-20 media,sett 2020-01-20 stdev,sett 2020-01-20 max,sett 2020-01-20 min,sett 1/27/20 media,sett 1/27/20 stdev,sett 1/27/20 min,sett 1/27/20 max,sett 2/3/20 media,sett 2/3/20 stdev,sett 2/3/20 min,sett 2/3/20 max,sett 2/10/20 media,sett 2/10/20 stdev,sett 2/10/20 min,sett 2/10/20 max,sett 2/17/20 media,sett 2/17/20 stdev,sett 2/17/20 min,sett 2/17/20 max,sett 2/24/20 media,sett 2/24/20 stdev,sett 2/24/20 min,sett 2/24/20 max,sett 3/2/20 media,sett 3/2/20 stdev,sett 3/2/20 min,sett 3/2/20 max,sett 3/9/20 media,sett 3/9/20 stdev,sett 3/9/20 min,sett 3/9/20 max,sett 3/16/20 media,sett 3/16/20 stdev,sett 3/16/20 min,sett 3/16/20 max,sett 3/23/20 media,sett 3/23/20 stdev,sett 3/23/20 min,sett 3/23/20 max,sett 3/30/20 media,sett 3/30/20 stdev,sett 3/30/20 min,sett 3/30/20 max,sett 4/6/20 media,sett 4/6/20 stdev,sett 4/6/20 min,sett 4/6/20 max,sett 4/13/20 media,sett 4/13/20 stdev,sett 4/13/20 min,sett 4/13/20 max,sett 4/20/20 media,sett 4/20/20 stdev,sett 4/20/20 min,sett 4/20/20 max,sett 4/27/20 media,sett 4/27/20 stdev,sett 4/27/20 min,sett 4/27/20 max,sett 5/4/20 media,sett 5/4/20 stdev,sett 5/4/20 min,sett 5/4/20 max,sett 5/11/20 media,sett 5/11/20 stdev,sett 5/11/20 min,sett 5/11/20 max,sett 5/18/20 media,sett 5/18/20 stdev,sett 5/18/20 min,sett 5/18/20 max
Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714288,0.3779644730092272,1.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5345224838248487,1.0,0.0,10.857142857142858,13.752921767495703,39.0,0.0,28.71428571428571,24.492953311202836,68.0,8.0,125.0,51.478150704935004,210.0,61.0,378.57142857142856,88.94728240715985,464.0,231.0,511.85714285714283,131.45902856204358,753.0,335.0,599.4285714285714,86.69843740009993,759.0,509.0,987.8571428571429,225.02994509726074,1246.0,716.0,1263.4285714285713,217.93795534727855,1569.0,993.0,1660.2857142857142,273.11213465395144,2073.0,1272.0,2506.714285714286,526.2745526451994,3508.0,1776.0,2847.285714285714,165.63887857395707,3081.0,2595.0,3658.8571428571427,450.7968605966655,4561.0,3156.0
Asia,2.4,1.140175425099138,4.0,1.0,6.285714285714286,2.5634797778466227,10.0,2.0,5.714285714285714,3.860668582611295,10.0,0.0,10.857142857142858,7.448234050846581,22.0,2.0,21.428571428571427,12.765280292746453,44.0,9.0,173.42857142857142,132.28864544731613,429.0,36.0,888.7142857142857,300.63472536491537,1373.0,568.0,1356.142857142857,401.5397151679306,1757.0,666.0,1991.5714285714287,367.5934607429142,2525.0,1460.0,5214.857142857143,1688.5178341345631,6896.0,2801.0,8262.142857142857,788.4261598423848,8988.0,6626.0,10455.857142857143,990.9227061299027,11672.0,9227.0,11901.285714285714,720.7934781164699,12881.0,10867.0,12655.57142857143,926.6487750927814,14120.0,11509.0,12301.57142857143,701.058451472452,13184.0,11432.0,15624.142857142857,1404.6580163360557,17711.0,13970.0,18382.714285714286,1514.3935765717922,20405.0,15982.0,23039.0,1495.637656653509,24911.0,20769.0
Americas,1.2,1.6431676725154982,4.0,0.0,0.8571428571428571,1.4638501094227998,4.0,0.0,0.8571428571428571,1.2149857925879117,3.0,0.0,0.2857142857142857,0.48795003647426666,1.0,0.0,0.5714285714285715,1.1338934190276817,3.0,0.0,12.571428571428571,12.817398889233116,37.0,1.0,77.71428571428571,53.12787807329998,151.0,26.0,518.7142857142857,279.5947747995983,930.0,89.0,5012.428571428572,3145.5355059270305,9212.0,1519.0,17287.14285714286,4655.288907202625,22299.0,11663.0,31734.571428571428,4553.00109294748,36531.0,23559.0,36791.28571428572,3484.899410996235,41202.0,33093.0,36131.42857142857,3918.768465438381,40630.0,31503.0,40750.28571428572,8192.036716923856,56950.0,33176.0,41669.57142857143,5552.3695499352,49595.0,32241.0,42575.71428571428,5031.38806938621,48056.0,35007.0,44576.71428571428,8149.3935707774335,54308.0,32554.0,54561.857142857145,4752.17372818557,59692.0,46858.0
Europe,0.6,0.8944271909999159,2.0,0.0,3.142857142857143,2.734262327610589,8.0,0.0,1.8571428571428572,1.7728105208558367,5.0,0.0,1.2857142857142858,1.7994708216848745,5.0,0.0,21.71428571428571,35.122235529240285,93.0,0.0,284.2857142857143,224.14780412762934,734.0,78.0,1409.4285714285713,762.5620973933549,2518.0,515.0,5987.0,3222.9093481925092,11243.0,2768.0,16147.714285714286,4400.0092694707555,21085.0,10609.0,30316.14285714286,5023.072049007839,36084.0,23294.0,33615.857142857145,2767.566706728218,36612.0,29390.0,34760.42857142857,8670.10380286078,52476.0,26766.0,30942.14285714286,6150.020174182939,42836.0,25563.0,24809.0,2036.5056673953386,26665.0,21346.0,22105.285714285714,1417.6810541968075,23645.0,19413.0,24127.571428571428,2920.077901765799,28632.0,20795.0,20719.714285714286,1965.1525567824426,24083.0,18250.0,17208.0,1280.282911443144,19448.0,15954.0
